province,month,suhu_rata_rata_c,suhu_maksimum_c,suhu_minimum_c,kelembapan_rata_rata_persen,curah_hujan_mm,kecepatan_angin_maks_kmh,radiasi_matahari_mj,luas_panen,produksi,produktivitas,suhu_rata_rata_c_lag_1,suhu_rata_rata_c_lag_2,suhu_rata_rata_c_lag_3,curah_hujan_mm_lag_1,curah_hujan_mm_lag_2,curah_hujan_mm_lag_3,kelembapan_rata_rata_persen_lag_1,kelembapan_rata_rata_persen_lag_2,kelembapan_rata_rata_persen_lag_3,kecepatan_angin_maks_kmh_lag_1,kecepatan_angin_maks_kmh_lag_2,kecepatan_angin_maks_kmh_lag_3,radiasi_matahari_mj_lag_1,radiasi_matahari_mj_lag_2,radiasi_matahari_mj_lag_3
Banten,2024-08,28.0451612903,33.3258064516,23.8129032258,71.064516129,44.1,12.2387096774,20.2796774194,27111.103333333333,137930.84083333335,50.88,26.8387096774,27.0266666667,27.5096774194,118.1,150.2,237.7,77.7741935484,83.6333333333,84.5161290323,10.8,9.8433333333,9.548387096799999,18.7709677419,17.593,17.1874193548
Banten,2024-09,28.25,33.6666666667,24.2333333333,71.2666666667,115.4,13.44,21.1723333333,27111.103333333333,137930.84083333335,50.88,28.0451612903,26.8387096774,27.0266666667,44.1,118.1,150.2,71.064516129,77.7741935484,83.6333333333,12.2387096774,10.8,9.8433333333,20.2796774194,18.7709677419,17.593
Banten,2024-10,28.9516129032,34.9612903226,24.4741935484,68.4838709677,58.5,14.4483870968,22.6290322581,27111.103333333333,137930.84083333335,50.88,28.25,28.0451612903,26.8387096774,115.4,44.1,118.1,71.2666666667,71.064516129,77.7741935484,13.44,12.2387096774,10.8,21.1723333333,20.2796774194,18.7709677419
Banten,2024-11,27.3633333333,32.3833333333,24.3233333333,83.1,297.0,12.0833333333,18.468,27111.103333333333,137930.84083333335,50.88,28.9516129032,28.25,28.0451612903,58.5,115.4,44.1,68.4838709677,71.2666666667,71.064516129,14.4483870968,13.44,12.2387096774,22.6290322581,21.1723333333,20.2796774194
Banten,2024-12,26.8064516129,30.2806451613,24.3838709677,84.5483870968,301.3,15.2032258065,16.1025806452,27111.103333333333,137930.84083333335,50.88,27.3633333333,28.9516129032,28.25,297.0,58.5,115.4,83.1,68.4838709677,71.2666666667,12.0833333333,14.4483870968,13.44,18.468,22.6290322581,21.1723333333
Bengkulu,2024-01,26.0096774194,29.2935483871,23.5967741935,89.2903225806,542.8,12.0258064516,17.505483871,5344.7733333333335,24402.836666666666,45.66,,,,,,,,,,,,,,,
Bengkulu,2024-02,26.1586206897,29.8310344828,23.7655172414,89.9655172414,571.3,11.4517241379,17.4537931034,5344.7733333333335,24402.836666666666,45.66,26.0096774194,,,542.8,,,89.2903225806,,,12.0258064516,,,17.505483871,,
Bengkulu,2024-03,26.5580645161,29.8903225806,23.964516129,88.1935483871,368.2,13.9419354839,18.6870967742,5344.7733333333335,24402.836666666666,45.66,26.1586206897,26.0096774194,,571.3,542.8,,89.9655172414,89.2903225806,,11.4517241379,12.0258064516,,17.4537931034,17.505483871,
Bengkulu,2024-04,26.49,30.13,24.04,90.9666666667,368.7,11.75,17.5426666667,5344.7733333333335,24402.836666666666,45.66,26.5580645161,26.1586206897,26.0096774194,368.2,571.3,542.8,88.1935483871,89.9655172414,89.2903225806,13.9419354839,11.4517241379,12.0258064516,18.6870967742,17.4537931034,17.505483871
Bengkulu,2024-05,26.8258064516,30.2806451613,24.4064516129,90.0,362.8,11.9483870968,16.1106451613,5344.7733333333335,24402.836666666666,45.66,26.49,26.5580645161,26.1586206897,368.7,368.2,571.3,90.9666666667,88.1935483871,89.9655172414,11.75,13.9419354839,11.4517241379,17.5426666667,18.6870967742,17.4537931034
Bengkulu,2024-06,26.2466666667,29.9533333333,23.5733333333,89.4,377.1,13.0,16.486,5344.7733333333335,24402.836666666666,45.66,26.8258064516,26.49,26.5580645161,362.8,368.7,368.2,90.0,90.9666666667,88.1935483871,11.9483870968,11.75,13.9419354839,16.1106451613,17.5426666667,18.6870967742
Bengkulu,2024-07,26.4419354839,29.9774193548,23.4612903226,84.0,150.1,15.8419354839,18.8980645161,5344.7733333333335,24402.836666666666,45.66,26.2466666667,26.8258064516,26.49,377.1,362.8,368.7,89.4,90.0,90.9666666667,13.0,11.9483870968,11.75,16.486,16.1106451613,17.5426666667
Bengkulu,2024-08,26.3129032258,30.0483870968,23.5258064516,84.0322580645,127.7,20.2548387097,19.2129032258,5344.7733333333335,24402.836666666666,45.66,26.4419354839,26.2466666667,26.8258064516,150.1,377.1,362.8,84.0,89.4,90.0,15.8419354839,13.0,11.9483870968,18.8980645161,16.486,16.1106451613
Bengkulu,2024-09,26.6566666667,30.4066666667,23.6566666667,81.0,133.9,18.14,19.5633333333,5344.7733333333335,24402.836666666666,45.66,26.3129032258,26.4419354839,26.2466666667,127.7,150.1,377.1,84.0322580645,84.0,89.4,20.2548387097,15.8419354839,13.0,19.2129032258,18.8980645161,16.486
Bengkulu,2024-10,26.6064516129,30.5870967742,23.3806451613,81.8387096774,212.9,16.4580645161,21.7483870968,5344.7733333333335,24402.836666666666,45.66,26.6566666667,26.3129032258,26.4419354839,133.9,127.7,150.1,81.0,84.0322580645,84.0,18.14,20.2548387097,15.8419354839,19.5633333333,19.2129032258,18.8980645161
Bengkulu,2024-11,26.13,29.7066666667,23.83,87.7333333333,372.5,12.68,17.566,5344.7733333333335,24402.836666666666,45.66,26.6064516129,26.6566666667,26.3129032258,212.9,133.9,127.7,81.8387096774,81.0,84.0322580645,16.4580645161,18.14,20.2548387097,21.7483870968,19.5633333333,19.2129032258
Bengkulu,2024-12,26.4677419355,29.3096774194,24.1290322581,84.8387096774,402.7,19.5741935484,17.8016129032,5344.7733333333335,24402.836666666666,45.66,26.13,26.6064516129,26.6566666667,372.5,212.9,133.9,87.7333333333,81.8387096774,81.0,12.68,16.4580645161,18.14,17.566,21.7483870968,19.5633333333
Gorontalo,2024-01,26.964516129,31.6193548387,23.8129032258,82.5161290323,159.8,12.0580645161,18.1551612903,4057.1949999999997,18968.933333333334,46.75,,,,,,,,,,,,,,,
Gorontalo,2024-02,27.2448275862,32.3965517241,23.5172413793,79.724137931,71.7,10.948275862100001,21.0368965517,4057.1949999999997,18968.933333333334,46.75,26.964516129,,,159.8,,,82.5161290323,,,12.0580645161,,,18.1551612903,,
Gorontalo,2024-03,27.0870967742,32.1032258065,23.8806451613,82.3548387097,165.1,10.1,20.1438709677,4057.1949999999997,18968.933333333334,46.75,27.2448275862,26.964516129,,71.7,159.8,,79.724137931,82.5161290323,,10.948275862100001,12.0580645161,,21.0368965517,18.1551612903,
Gorontalo,2024-04,27.07,31.7066666667,23.85,84.2,156.5,8.61,19.808,4057.1949999999997,18968.933333333334,46.75,27.0870967742,27.2448275862,26.964516129,165.1,71.7,159.8,82.3548387097,79.724137931,82.5161290323,10.1,10.948275862100001,12.0580645161,20.1438709677,21.0368965517,18.1551612903
Gorontalo,2024-05,27.4161290323,31.1677419355,24.6709677419,85.3548387097,143.6,10.5548387097,18.7306451613,4057.1949999999997,18968.933333333334,46.75,27.07,27.0870967742,27.2448275862,156.5,165.1,71.7,84.2,82.3548387097,79.724137931,8.61,10.1,10.948275862100001,19.808,20.1438709677,21.0368965517
Gorontalo,2024-06,26.4333333333,29.74,24.0233333333,86.5,195.7,11.0166666667,15.8876666667,4057.1949999999997,18968.933333333334,46.75,27.4161290323,27.07,27.0870967742,143.6,156.5,165.1,85.3548387097,84.2,82.3548387097,10.5548387097,8.61,10.1,18.7306451613,19.808,20.1438709677
Gorontalo,2024-07,26.5032258065,29.5290322581,23.964516129,82.2580645161,196.7,14.1580645161,17.5577419355,4057.1949999999997,18968.933333333334,46.75,26.4333333333,27.4161290323,27.07,195.7,143.6,156.5,86.5,85.3548387097,84.2,11.0166666667,10.5548387097,8.61,15.8876666667,18.7306451613,19.808
Gorontalo,2024-08,26.7322580645,30.164516129,23.9290322581,79.8709677419,262.7,14.1967741935,17.7558064516,4057.1949999999997,18968.933333333334,46.75,26.5032258065,26.4333333333,27.4161290323,196.7,195.7,143.6,82.2580645161,86.5,85.3548387097,14.1580645161,11.0166666667,10.5548387097,17.5577419355,15.8876666667,18.7306451613
Gorontalo,2024-09,27.55,31.7166666667,23.9666666667,75.2333333333,33.5,14.97,22.0323333333,4057.1949999999997,18968.933333333334,46.75,26.7322580645,26.5032258065,26.4333333333,262.7,196.7,195.7,79.8709677419,82.2580645161,86.5,14.1967741935,14.1580645161,11.0166666667,17.7558064516,17.5577419355,15.8876666667
Gorontalo,2024-10,27.4967741935,31.9419354839,24.0129032258,78.0967741935,60.4,12.0903225806,21.2287096774,4057.1949999999997,18968.933333333334,46.75,27.55,26.7322580645,26.5032258065,33.5,262.7,196.7,75.2333333333,79.8709677419,82.2580645161,14.97,14.1967741935,14.1580645161,22.0323333333,17.7558064516,17.5577419355
Gorontalo,2024-11,27.1633333333,31.6033333333,24.1566666667,82.6666666667,146.1,10.3933333333,18.9356666667,4057.1949999999997,18968.933333333334,46.75,27.4967741935,27.55,26.7322580645,60.4,33.5,262.7,78.0967741935,75.2333333333,79.8709677419,12.0903225806,14.97,14.1967741935,21.2287096774,22.0323333333,17.7558064516
Gorontalo,2024-12,27.8903225806,32.2935483871,24.7677419355,79.0967741935,122.0,11.7741935484,17.6783870968,4057.1949999999997,18968.933333333334,46.75,27.1633333333,27.4967741935,27.55,146.1,60.4,33.5,82.6666666667,78.0967741935,75.2333333333,10.3933333333,12.0903225806,14.97,18.9356666667,21.2287096774,22.0323333333
Jambi,2024-01,26.0580645161,29.9741935484,23.764516129,90.0967741935,339.0,12.7258064516,15.8890322581,7064.410833333332,32201.124166666665,45.58,,,,,,,,,,,,,,,
Jambi,2024-02,26.3965517241,30.624137931,23.8482758621,89.1034482759,323.3,12.775862069,17.4368965517,7064.410833333332,32201.124166666665,45.58,26.0580645161,,,339.0,,,90.0967741935,,,12.7258064516,,,15.8890322581,,
Jambi,2024-03,27.0258064516,31.2032258065,24.2935483871,87.6129032258,265.7,11.9032258065,18.8809677419,7064.410833333332,32201.124166666665,45.58,26.3965517241,26.0580645161,,323.3,339.0,,89.1034482759,90.0967741935,,12.775862069,12.7258064516,,17.4368965517,15.8890322581,
Jambi,2024-04,27.01,31.1033333333,24.4,91.0333333333,377.5,10.4033333333,17.5906666667,7064.410833333332,32201.124166666665,45.58,27.0258064516,26.3965517241,26.0580645161,265.7,323.3,339.0,87.6129032258,89.1034482759,90.0967741935,11.9032258065,12.775862069,12.7258064516,18.8809677419,17.4368965517,15.8890322581
Jambi,2024-05,27.1419354839,31.1129032258,24.6612903226,90.7096774194,420.1,10.6161290323,17.0529032258,7064.410833333332,32201.124166666665,45.58,27.01,27.0258064516,26.3965517241,377.5,265.7,323.3,91.0333333333,87.6129032258,89.1034482759,10.4033333333,11.9032258065,12.775862069,17.5906666667,18.8809677419,17.4368965517
Jambi,2024-06,26.68,30.6533333333,23.9166666667,89.3333333333,231.2,11.4566666667,17.2616666667,7064.410833333332,32201.124166666665,45.58,27.1419354839,27.01,27.0258064516,420.1,377.5,265.7,90.7096774194,91.0333333333,87.6129032258,10.6161290323,10.4033333333,11.9032258065,17.0529032258,17.5906666667,18.8809677419
Jambi,2024-07,27.2322580645,31.4322580645,23.9838709677,82.064516129,61.1,12.935483871,19.2129032258,7064.410833333332,32201.124166666665,45.58,26.68,27.1419354839,27.01,231.2,420.1,377.5,89.3333333333,90.7096774194,91.0333333333,11.4566666667,10.6161290323,10.4033333333,17.2616666667,17.0529032258,17.5906666667
Jambi,2024-08,27.7774193548,32.9870967742,24.0774193548,76.7741935484,73.8,13.0258064516,18.7358064516,7064.410833333332,32201.124166666665,45.58,27.2322580645,26.68,27.1419354839,61.1,231.2,420.1,82.064516129,89.3333333333,90.7096774194,12.935483871,11.4566666667,10.6161290323,19.2129032258,17.2616666667,17.0529032258
Jambi,2024-09,27.38,32.13,24.08,82.1,195.6,12.4866666667,18.839,7064.410833333332,32201.124166666665,45.58,27.7774193548,27.2322580645,26.68,73.8,61.1,231.2,76.7741935484,82.064516129,89.3333333333,13.0258064516,12.935483871,11.4566666667,18.7358064516,19.2129032258,17.2616666667
Jambi,2024-10,27.4290322581,31.9935483871,24.0774193548,83.8064516129,166.6,10.7225806452,20.4183870968,7064.410833333332,32201.124166666665,45.58,27.38,27.7774193548,27.2322580645,195.6,73.8,61.1,82.1,76.7741935484,82.064516129,12.4866666667,13.0258064516,12.935483871,18.839,18.7358064516,19.2129032258
Jambi,2024-11,26.5866666667,30.5866666667,24.1333333333,88.8,268.5,11.03,17.1046666667,7064.410833333332,32201.124166666665,45.58,27.4290322581,27.38,27.7774193548,166.6,195.6,73.8,83.8064516129,82.1,76.7741935484,10.7225806452,12.4866666667,13.0258064516,20.4183870968,18.839,18.7358064516
Jambi,2024-12,27.164516129,31.0129032258,24.5677419355,84.7741935484,193.5,13.0322580645,16.9,7064.410833333332,32201.124166666665,45.58,26.5866666667,27.4290322581,27.38,268.5,166.6,195.6,88.8,83.8064516129,82.1,11.03,10.7225806452,12.4866666667,17.1046666667,20.4183870968,18.839
Jawa Barat,2024-01,22.8741935484,27.1806451613,19.6064516129,83.4193548387,295.6,13.064516129,17.9816129032,132240.71916666665,751397.715,56.82,,,,,,,,,,,,,,,
Jawa Barat,2024-02,23.0,27.2103448276,19.7,84.4482758621,245.0,11.275862069,18.76,132240.71916666665,751397.715,56.82,22.8741935484,,,295.6,,,83.4193548387,,,13.064516129,,,17.9816129032,,
Jawa Barat,2024-03,22.8612903226,27.1387096774,19.5935483871,84.1935483871,257.2,14.2806451613,18.3064516129,132240.71916666665,751397.715,56.82,23.0,22.8741935484,,245.0,295.6,,84.4482758621,83.4193548387,,11.275862069,13.064516129,,18.76,17.9816129032,
Jawa Barat,2024-04,23.2933333333,28.1466666667,19.5233333333,85.2333333333,272.4,10.3633333333,17.5903333333,132240.71916666665,751397.715,56.82,22.8612903226,23.0,22.8741935484,257.2,245.0,295.6,84.1935483871,84.4482758621,83.4193548387,14.2806451613,11.275862069,13.064516129,18.3064516129,18.76,17.9816129032
Jawa Barat,2024-05,23.3612903226,28.2967741935,18.8935483871,82.064516129,218.5,10.2548387097,18.4738709677,132240.71916666665,751397.715,56.82,23.2933333333,22.8612903226,23.0,272.4,257.2,245.0,85.2333333333,84.1935483871,84.4482758621,10.3633333333,14.2806451613,11.275862069,17.5903333333,18.3064516129,18.76
Jawa Barat,2024-06,22.49,27.8066666667,17.5633333333,81.9,87.3,9.67,17.9743333333,132240.71916666665,751397.715,56.82,23.3612903226,23.2933333333,22.8612903226,218.5,272.4,257.2,82.064516129,85.2333333333,84.1935483871,10.2548387097,10.3633333333,14.2806451613,18.4738709677,17.5903333333,18.3064516129
Jawa Barat,2024-07,21.8870967742,27.6064516129,16.7838709677,78.1290322581,69.6,10.8161290323,19.6429032258,132240.71916666665,751397.715,56.82,22.49,23.3612903226,23.2933333333,87.3,218.5,272.4,81.9,82.064516129,85.2333333333,9.67,10.2548387097,10.3633333333,17.9743333333,18.4738709677,17.5903333333
Jawa Barat,2024-08,23.1064516129,30.1903225806,17.0967741935,67.8387096774,32.0,12.3516129032,21.8312903226,132240.71916666665,751397.715,56.82,21.8870967742,22.49,23.3612903226,69.6,87.3,218.5,78.1290322581,81.9,82.064516129,10.8161290323,9.67,10.2548387097,19.6429032258,17.9743333333,18.4738709677
Jawa Barat,2024-09,23.0466666667,29.4666666667,17.8433333333,71.5666666667,132.8,12.24,22.4326666667,132240.71916666665,751397.715,56.82,23.1064516129,21.8870967742,22.49,32.0,69.6,87.3,67.8387096774,78.1290322581,81.9,12.3516129032,10.8161290323,9.67,21.8312903226,19.6429032258,17.9743333333
Jawa Barat,2024-10,23.8516129032,30.2258064516,18.3129032258,71.3548387097,62.9,12.5,23.5274193548,132240.71916666665,751397.715,56.82,23.0466666667,23.1064516129,21.8870967742,132.8,32.0,69.6,71.5666666667,67.8387096774,78.1290322581,12.24,12.3516129032,10.8161290323,22.4326666667,21.8312903226,19.6429032258
Jawa Barat,2024-11,23.1233333333,28.11,19.78,81.7666666667,396.4,9.3266666667,17.1713333333,132240.71916666665,751397.715,56.82,23.8516129032,23.0466666667,23.1064516129,62.9,132.8,32.0,71.3548387097,71.5666666667,67.8387096774,12.5,12.24,12.3516129032,23.5274193548,22.4326666667,21.8312903226
Jawa Barat,2024-12,23.3387096774,26.9806451613,21.0548387097,79.7096774194,228.1,13.5774193548,15.8812903226,132240.71916666665,751397.715,56.82,23.1233333333,23.8516129032,23.0466666667,396.4,62.9,132.8,81.7666666667,71.3548387097,71.5666666667,9.3266666667,12.5,12.24,17.1713333333,23.5274193548,22.4326666667
Jawa Tengah,2024-01,27.0258064516,30.1225806452,24.6387096774,85.9677419355,274.1,14.8967741935,18.9661290323,138910.9575,790763.7183333333,56.93,,,,,,,,,,,,,,,
Jawa Tengah,2024-02,27.2206896552,29.975862069,24.8275862069,85.5172413793,247.6,16.0206896552,20.2417241379,138910.9575,790763.7183333333,56.93,27.0258064516,,,274.1,,,85.9677419355,,,14.8967741935,,,18.9661290323,,
Jawa Tengah,2024-03,27.4516129032,30.5677419355,25.0290322581,83.7096774194,217.4,17.7838709677,20.2109677419,138910.9575,790763.7183333333,56.93,27.2206896552,27.0258064516,,247.6,274.1,,85.5172413793,85.9677419355,,16.0206896552,14.8967741935,,20.2417241379,18.9661290323,
Jawa Tengah,2024-04,28.06,32.16,25.36,82.8666666667,194.5,12.49,19.8726666667,138910.9575,790763.7183333333,56.93,27.4516129032,27.2206896552,27.0258064516,217.4,247.6,274.1,83.7096774194,85.5172413793,85.9677419355,17.7838709677,16.0206896552,14.8967741935,20.2109677419,20.2417241379,18.9661290323
